r,region,model,reference,model_to_reference
0,trained-scale,1.0,1.0,1.0
1,trained-scale,0.6766790747642517,0.6745291352272034,1.0031872987747192
2,trained-scale,0.5927448272705078,0.5847132205963135,1.0137360095977783
3,trained-scale,0.5520228743553162,0.5384422540664673,1.0252220630645752
4,trained-scale,0.5216813683509827,0.5023419857025146,1.0384984016418457
5,trained-scale,0.5004184246063232,0.4759165048599243,1.0514836311340332
6,trained-scale,0.48602378368377686,0.4576966166496277,1.061890721321106
7,trained-scale,0.4744979441165924,0.44269993901252747,1.0718274116516113
8,trained-scale,0.4652295708656311,0.4305104613304138,1.0806463956832886
9,trained-scale,0.4566715657711029,0.4190431535243988,1.0897960662841797
10,trained-scale,0.449485182762146,0.40922051668167114,1.0983935594558716
11,trained-scale,0.4438541531562805,0.4014832377433777,1.1055359840393066
12,trained-scale,0.43895724415779114,0.39454415440559387,1.1125681400299072
13,trained-scale,0.4344679117202759,0.38819366693496704,1.119204044342041
14,trained-scale,0.4304032027721405,0.38234615325927734,1.1256898641586304
15,trained-scale,0.4270568788051605,0.3774122893810272,1.1315394639968872
16,trained-scale,0.4238220155239105,0.3726780116558075,1.1372337341308594
17,trained-scale,0.4207456707954407,0.3680671155452728,1.1431221961975098
18,trained-scale,0.418107807636261,0.36407986283302307,1.1483958959579468
19,trained-scale,0.41581517457962036,0.36057689785957336,1.1531941890716553
20,trained-scale,0.41378673911094666,0.3574359118938446,1.1576529741287231
21,trained-scale,0.41176116466522217,0.3543704152107239,1.1619513034820557
22,trained-scale,0.4098670184612274,0.35135969519615173,1.166516900062561
23,trained-scale,0.4081534147262573,0.348674476146698,1.1705858707427979
24,trained-scale,0.40663081407546997,0.34625524282455444,1.1743671894073486
25,trained-scale,0.4051140248775482,0.34387627243995667,1.1780807971954346
26,trained-scale,0.4036893844604492,0.3416723906993866,1.181510090827942
27,trained-scale,0.4024219512939453,0.33970537781715393,1.1846204996109009
28,trained-scale,0.4011927843093872,0.3378351628780365,1.187540054321289
29,trained-scale,0.4000706076622009,0.3360668122768402,1.190449595451355
30,trained-scale,0.3989528715610504,0.33437514305114746,1.193129539489746
31,trained-scale,0.39792004227638245,0.33279919624328613,1.1956760883331299
32,trained-scale,0.3970075845718384,0.33137524127960205,1.1980605125427246
33,extrapolated-scale,0.396070659160614,0.3300218880176544,1.200134515762329
34,extrapolated-scale,0.3952232301235199,0.328682005405426,1.2024486064910889
35,extrapolated-scale,0.39435720443725586,0.3273959755897522,1.2045267820358276
36,extrapolated-scale,0.39361220598220825,0.3262375593185425,1.2065201997756958
37,extrapolated-scale,0.3928672671318054,0.32512056827545166,1.2083740234375
38,extrapolated-scale,0.39215922355651855,0.3240661025047302,1.2101210355758667
39,extrapolated-scale,0.3915323317050934,0.323088139295578,1.211843729019165
40,extrapolated-scale,0.3908572196960449,0.32212674617767334,1.2133647203445435
41,extrapolated-scale,0.39032217860221863,0.3212693929672241,1.2149373292922974
42,extrapolated-scale,0.3897092044353485,0.32040876150131226,1.216287612915039
43,extrapolated-scale,0.38916611671447754,0.319600373506546,1.2176647186279297
44,extrapolated-scale,0.38868236541748047,0.3188604414463043,1.2189732789993286
45,extrapolated-scale,0.3881210386753082,0.31811636686325073,1.2200599908828735
46,extrapolated-scale,0.38772299885749817,0.31748414039611816,1.221235752105713
47,extrapolated-scale,0.387215256690979,0.316807359457016,1.222241997718811
48,extrapolated-scale,0.3867953419685364,0.3161962926387787,1.2232760190963745
49,extrapolated-scale,0.3864232301712036,0.3156536817550659,1.2242000102996826
50,extrapolated-scale,0.38596799969673157,0.3150635063648224,1.225048303604126
51,extrapolated-scale,0.3856687843799591,0.31460240483283997,1.2258926630020142
52,extrapolated-scale,0.38525819778442383,0.3140646517276764,1.226684331893921
53,extrapolated-scale,0.3849995732307434,0.31369656324386597,1.2272993326187134
54,extrapolated-scale,0.38464590907096863,0.3132328987121582,1.2279869318008423
55,extrapolated-scale,0.38436800241470337,0.3128422498703003,1.2286319732666016
56,extrapolated-scale,0.3841596245765686,0.312542587518692,1.2291432619094849
57,extrapolated-scale,0.38383039832115173,0.3121366500854492,1.2296870946884155
58,extrapolated-scale,0.3837029039859772,0.3119451701641083,1.2300331592559814
59,extrapolated-scale,0.3834175765514374,0.31160157918930054,1.2304737567901611
60,extrapolated-scale,0.3832237720489502,0.31135138869285583,1.2308400869369507
61,extrapolated-scale,0.3831169903278351,0.3111951947212219,1.2311147451400757
62,extrapolated-scale,0.3828236758708954,0.310860812664032,1.2314954996109009
63,extrapolated-scale,0.3828355073928833,0.3108494281768799,1.2315785884857178
64,extrapolated-scale,0.38243749737739563,0.3103818893432617,1.2321515083312988
