r,model_raw,reference_raw,model_connected,reference_connected,model_to_reference
0,1.0,1.0,0.9990566968917847,0.9999954104423523,1.0
1,0.6734071373939514,0.6771528124809265,0.6724638342857361,0.6771482229232788,0.9944685101509094
2,0.5851166844367981,0.5889304876327515,0.5841733813285828,0.5889258980751038,0.9935241937637329
3,0.5407167077064514,0.5439964532852173,0.5397734045982361,0.5439918637275696,0.9939709901809692
4,0.50667405128479,0.5093427896499634,0.5057307481765747,0.5093382000923157,0.9947604537010193
5,0.4822179079055786,0.4842970669269562,0.4812746047973633,0.48429247736930847,0.9957068562507629
6,0.4655861258506775,0.46725577116012573,0.46464282274246216,0.467251181602478,0.9964267015457153
7,0.4521477520465851,0.45345449447631836,0.45120444893836975,0.45344990491867065,0.9971182346343994
8,0.4412611722946167,0.44237470626831055,0.44031786918640137,0.44237011671066284,0.9974828362464905
9,0.4312385022640228,0.4321350157260895,0.4302951991558075,0.4321304261684418,0.9979254007339478
10,0.422914981842041,0.4234757721424103,0.4219716787338257,0.4234711825847626,0.9986757636070251
11,0.41632363200187683,0.41682669520378113,0.4153803288936615,0.4168221056461334,0.9987931251525879
12,0.41057297587394714,0.4109382927417755,0.4096296727657318,0.4109337031841278,0.999110996723175
13,0.4053333103656769,0.4056815505027771,0.40439000725746155,0.4056769609451294,0.9991415739059448
14,0.4006962776184082,0.4009680151939392,0.39975297451019287,0.4009634256362915,0.9993222951889038
15,0.39686650037765503,0.3970887064933777,0.3959231972694397,0.39708411693573,0.9994404315948486
16,0.39318493008613586,0.393431156873703,0.39224162697792053,0.3934265673160553,0.9993741512298584
17,0.3897549510002136,0.3899421691894531,0.3888116478919983,0.3899375796318054,0.9995198845863342
18,0.3867226541042328,0.3870038688182831,0.38577935099601746,0.3869992792606354,0.9992733597755432
19,0.3841661810874939,0.3844794034957886,0.38322287797927856,0.38447481393814087,0.99918532371521
20,0.38194581866264343,0.3823167383670807,0.3810025155544281,0.382312148809433,0.999029815196991
21,0.37980881333351135,0.3801889419555664,0.378865510225296,0.3801843523979187,0.9990001320838928
22,0.37789762020111084,0.37826400995254517,0.3769543170928955,0.37825942039489746,0.9990313649177551
23,0.3761845529079437,0.3765712082386017,0.3752412497997284,0.376566618680954,0.9989732503890991
24,0.37471649050712585,0.3751528263092041,0.3737731873989105,0.3751482367515564,0.9988369345664978
25,0.3732765316963196,0.3738117814064026,0.37233322858810425,0.3738071918487549,0.9985681176185608
26,0.3719891607761383,0.37257158756256104,0.371045857667923,0.37256699800491333,0.9984367489814758
27,0.37099483609199524,0.37163618206977844,0.3700515329837799,0.37163159251213074,0.9982742667198181
28,0.3700057864189148,0.3706992268562317,0.36906248331069946,0.370694637298584,0.9981293678283691
29,0.3692755401134491,0.3700408339500427,0.36833223700523376,0.370036244392395,0.9979318380355835
30,0.3684908151626587,0.3693088889122009,0.36754751205444336,0.3693042993545532,0.9977848529815674
31,0.36796560883522034,0.3688707947731018,0.367022305727005,0.3688662052154541,0.9975460767745972
32,0.36742082238197327,0.3682378828525543,0.36647751927375793,0.3682332932949066,0.9977811574935913
